Booth,LDF_Maxy,UDF_Shiyas,Aneesh,NDA_Julappan,Ajeesh,Valid,Rejected,NOTA,Total,Tendered
1,152,202,0,5,0,359,0,5,364,0
2,6,10,0,0,0,16,0,0,16,0
3,274,309,10,1,2,596,0,2,598,0
4,212,316,5,0,1,534,0,1,535,0
5,161,224,0,23,3,411,0,4,415,0
6,167,257,1,28,0,453,0,3,456,0
7,277,377,8,37,2,701,0,3,704,0
8,201,175,2,39,1,418,0,6,424,0
9,222,175,0,64,1,462,0,4,466,0
10,221,271,2,25,3,522,0,10,532,0
11,276,278,0,28,5,587,0,4,591,0
12,198,349,6,0,2,555,0,2,557,0
13,191,293,3,1,1,489,0,2,491,0
14,421,575,19,5,5,1025,0,7,1032,0
15,517,509,31,1,2,1060,0,6,1066,0
16,336,329,18,0,1,684,0,3,687,0
17,343,350,15,1,1,710,0,2,712,0
18,276,127,5,243,3,654,0,5,659,0
19,306,158,7,347,4,822,0,10,832,0
20,221,141,1,123,1,487,0,5,492,0
21,207,143,1,112,2,465,0,3,468,0
22,189,187,1,95,1,473,0,1,474,0
23,184,192,1,61,0,438,0,1,439,0
24,144,366,4,37,0,551,0,5,556,0
25,189,169,2,44,2,406,0,3,409,0
26,171,177,2,50,1,401,0,5,406,0
27,184,112,2,112,1,411,0,5,416,0
28,154,157,2,39,2,354,0,1,355,0
29,208,237,0,9,2,456,0,2,458,0
30,181,155,0,13,0,349,0,2,351,0
31,197,214,1,13,2,427,0,2,429,0
32,220,173,1,7,1,402,0,1,403,0
33,383,378,2,39,1,803,0,4,807,0
34,306,242,2,38,0,588,0,6,594,0
35,331,283,5,54,2,675,0,8,683,0
36,320,323,2,67,0,712,0,10,722,0
37,319,527,20,2,3,871,0,3,874,0
38,336,252,9,0,0,597,0,3,600,0
39,264,259,10,0,3,536,0,0,536,0
40,258,308,4,1,0,571,0,3,574,0
41,256,286,11,1,0,554,0,1,555,0
42,218,323,14,1,4,560,0,1,561,0
43,254,278,8,0,0,540,0,2,542,0
44,235,325,9,2,0,571,0,1,572,0
45,239,321,9,0,1,570,0,1,571,0
46,172,235,12,62,0,481,0,3,484,0
47,227,337,12,7,1,584,0,1,585,0
48,228,321,2,30,3,584,0,5,589,0
49,250,356,10,12,3,631,0,1,632,0
50,67,77,2,176,1,323,0,4,327,0
51,129,154,4,108,3,398,0,2,400,0
