Booth_No,Location,Zone,Type,UDF_2021,LDF_2021,T20_2021,NDA_BJP_2021,UDF_2024,LDF_2024,NDA_2024,Gap_2021,Swing_2024,Verdict_2026
1,Our Lady of Hope School,Fort Kochi,A,179,131,30,0,307,28,0,48,,UDF safe
2,Temporary Shed Ramanthuruthu,Fort Kochi,A,11,4,0,0,12,3,0,7,,UDF safe
3,Women Dev Corp Training Centre,Fort Kochi,C,305,530,24,0,582,293,0,225,277,UDF recoverable
4,Santa Cruz HS NE Block,Fort Kochi,A,182,145,78,0,342,53,0,37,,UDF safe
5,Santa Cruz HS W Block,Fort Kochi,A,232,172,70,0,331,59,0,60,,UDF safe
6,Santa Cruz LP School Fort Kochi,Fort Kochi,B,292,296,73,0,474,100,0,4,5,UDF flip
7,Santa Cruz HS Middle Block,Fort Kochi,B,265,349,129,0,458,179,0,84,84,UDF recoverable
8,St John DBritto AIBHS N,Fort Kochi,C,154,260,65,0,290,116,0,106,136,UDF recoverable
9,St John DBritto AIBHS S,Fort Kochi,C,161,287,74,0,313,133,0,126,152,UDF recoverable
10,Central Kalvathy LP School W,Fort Kochi,C,280,494,30,0,567,218,0,214,84,UDF recoverable
11,Central Kalvathy LP School N,Fort Kochi,C,221,506,19,0,477,261,0,285,256,UDF recoverable
12,Central Kalvathy LP School E,Fort Kochi,F,212,569,0,0,466,362,0,357,,LDF stronghold
13,Central Kalvathy HS E,Fort Kochi,F,297,687,0,0,589,423,0,390,,LDF stronghold
14,LG Pai Memorial Library W,Fort Kochi Mattancherry,E,137,250,0,280,186,0,353,0,,NDA territory
15,Govt UPS Amaravathy N,Fort Kochi Mattancherry,E,144,230,0,383,192,0,444,0,,NDA territory
16,GUPS Amaravathy Mid Block,Fort Kochi,C,235,429,99,0,364,176,0,194,129,UDF recoverable
17,GUPS Amaravathy SW Room S Block,Fort Kochi,B,332,384,108,0,457,166,0,52,53,UDF flip
18,GUPS Last Room E S Block,Fort Kochi,A,214,176,76,0,393,56,0,38,,UDF safe
19,GUPS North Portion Main Block,Fort Kochi,B,245,339,133,0,424,158,0,94,95,UDF recoverable
20,GUPS Southern Portion Main Block,Fort Kochi,C,201,340,121,0,345,168,0,139,144,UDF recoverable
21,Pallathu Raman Memorial E Block,Fort Kochi,C,285,401,116,0,600,130,0,116,315,UDF recoverable
22,Pallathu Raman Memorial S Block,Fort Kochi,C,326,496,132,0,576,201,0,170,250,UDF recoverable
23,EMGHS Veli Fortkochi W HS,Fort Kochi,C,268,380,135,0,491,161,0,112,223,UDF recoverable
24,Edward Memorial GLPS N,Fort Kochi,B,193,278,64,0,372,106,0,85,86,UDF flip
25,Edward Memorial GLPS S,Fort Kochi,C,208,309,81,0,378,138,0,101,170,UDF recoverable
26,EMGHS Veli Fortkochi UP School,Fort Kochi,C,240,350,111,0,434,124,0,110,194,UDF recoverable
27,Anganvady No 41,Fort Kochi,C,247,456,10,0,523,186,0,209,276,UDF recoverable
28,MASSLPS E South Block,Fort Kochi,F,225,665,14,0,468,420,0,440,,LDF stronghold
29,MASSLPS Eastern Hall,Fort Kochi,F,233,594,16,0,523,286,0,361,,LDF stronghold
30,MASSLPS Second Room N Block,Fort Kochi,C,235,526,16,0,525,280,0,291,290,UDF recoverable
31,MASSLPS Sulaiman Master Hall,Fort Kochi,C,280,570,20,0,583,298,0,290,303,UDF recoverable
32,Aasia Bai HSS Middle W,Fort Kochi,B,338,409,46,0,520,192,0,71,72,UDF flip
33,Gujarati Vidhyalaya HSS NW,Fort Kochi,C,311,580,24,0,627,258,0,269,291,UDF recoverable
34,Gujarati Vidhyalaya HSS SW,Fort Kochi Mattancherry,E,117,192,0,387,214,0,411,0,,NDA territory
35,Kochi Gujarathi UPS N,Fort Kochi,C,346,572,26,0,627,258,0,226,281,UDF recoverable
36,Haji Easa Moosa HS Mid,Fort Kochi,C,171,340,13,0,349,126,0,169,178,UDF recoverable
37,Haji Easa Moosa HS N,Fort Kochi Mattancherry,E,149,125,0,227,178,0,277,0,,NDA territory
38,Haji Easa Moosa HS E,Fort Kochi,F,238,622,0,0,488,331,0,384,,LDF stronghold
39,TD Girls LPS S New Block,Fort Kochi Mattancherry,E,177,247,0,347,211,0,390,0,,NDA territory
40,TD Girls LPS N New Block,Fort Kochi,C,252,473,57,0,525,232,0,221,273,UDF recoverable
41,TD High School W End S,Fort Kochi Mattancherry,E,139,163,0,266,244,0,300,0,,NDA territory
42,TD High School S Blk 4W,Fort Kochi Mattancherry,E,108,93,0,411,131,0,462,0,,NDA territory
43,TD High School S Blk 4E,Fort Kochi Mattancherry,E,137,124,0,344,163,0,421,0,,NDA territory
44,TD High School S Blk 5E,Fort Kochi Mattancherry,E,130,96,0,473,169,0,524,0,,NDA territory
45,Govt Girls HS LP W South,Fort Kochi,C,288,525,25,0,498,263,0,237,210,UDF recoverable
46,Govt Girls HS LP E South,Fort Kochi Mattancherry,E,175,272,0,487,210,0,523,0,,NDA territory
47,Govt Girls LPS N West Block,Fort Kochi,C,210,495,20,0,470,249,0,285,260,UDF recoverable
48,Govt Girls LPS S West Block,Fort Kochi,C,238,444,20,0,444,221,0,206,206,UDF recoverable
49,TD Teacher Training S Hall,Fort Kochi Mattancherry,E,94,76,0,452,92,0,532,0,,NDA territory
50,TD Teacher Training N Hall,Fort Kochi Mattancherry,E,140,173,0,389,188,0,446,0,,NDA territory
51,TDLPS N Portion E Block,Chullickal,B,230,265,85,0,316,122,0,35,36,UDF flip
52,TDLPS S Portion E Block,Chullickal,B,200,271,34,0,240,146,0,71,72,UDF recoverable
53,Cochin College BioTech W,Chullickal,B,203,271,74,0,326,108,0,68,69,UDF flip
54,Cochin College BioTech E,Chullickal,B,249,288,69,0,367,111,0,39,40,UDF flip
55,Cochin College BioTech Mid,Chullickal,C,263,431,45,0,453,194,0,168,190,UDF recoverable
56,MMOHS Panayappilly W,Chullickal,C,293,510,17,0,607,209,0,217,314,UDF recoverable
57,MMOHS Panayappilly N W,Chullickal,C,305,587,14,0,639,301,0,282,334,UDF recoverable
58,MMOHS E Portion S Block,Chullickal,C,243,353,39,0,397,128,0,110,154,UDF recoverable
59,MMOHS W South Block,Chullickal,C,197,376,6,0,391,178,0,179,194,UDF recoverable
60,MMOHS Mid W,Chullickal,C,342,544,15,0,624,216,0,202,282,UDF recoverable
