Part_No,Mapped_Booth,Location,Zone,Booth_Type,Registered_Voters,SIR_Corrected,Est_Polled,Est_UDF,Est_LDF,Est_NDA,Est_Winner,Est_Margin,Verdict_2026,Est_Method
1,1,Our Lady of Hope School,Fort Kochi,A,462,,356,276,71,9,UDF,205,UDF safe,booth_pattern
2,1,Our Lady of Hope School,Fort Kochi,A,623,Y,480,372,96,13,UDF,276,UDF safe,booth_pattern
3,2,Temporary Shed Ramanthuruthu,Fort Kochi,A,692,,533,418,115,0,UDF,303,UDF safe,booth_pattern
4,2,Temporary Shed Ramanthuruthu,Fort Kochi,A,511,,393,308,85,0,UDF,223,UDF safe,booth_pattern
5,3,Women Dev Corp Training Centre,Fort Kochi,C,560,,431,238,189,4,UDF,49,UDF recoverable,booth_pattern
6,4,Santa Cruz HS NE Block,Fort Kochi,A,582,,448,324,98,26,UDF,226,UDF safe,booth_pattern
7,4,Santa Cruz HS NE Block,Fort Kochi,A,787,,606,439,132,35,UDF,307,UDF safe,booth_pattern
8,5,Santa Cruz HS W Block,Fort Kochi,A,528,,407,296,93,18,UDF,203,UDF safe,booth_pattern
9,6,Santa Cruz LP School Fort Kochi,Fort Kochi,B,599,,461,318,128,15,UDF,190,UDF flip,booth_pattern
10,6,Santa Cruz LP School Fort Kochi,Fort Kochi,B,639,,492,339,136,16,UDF,203,UDF flip,booth_pattern
11,7,Santa Cruz HS Middle Block,Fort Kochi,B,656,,505,303,176,27,UDF,127,UDF recoverable,booth_pattern
12,8,St John DBritto AIBHS N,Fort Kochi,C,568,,437,252,167,18,UDF,85,UDF recoverable,booth_pattern
13,8,St John DBritto AIBHS N,Fort Kochi,C,530,,408,236,155,17,UDF,81,UDF recoverable,booth_pattern
14,9,St John DBritto AIBHS S,Fort Kochi,C,1258,,969,548,379,42,UDF,169,UDF recoverable,booth_pattern
15,10,Central Kalvathy LP School W,Fort Kochi,C,1209,,931,543,377,11,UDF,166,UDF recoverable,booth_pattern
16,10,Central Kalvathy LP School W,Fort Kochi,C,677,,521,304,211,6,UDF,93,UDF recoverable,booth_pattern
17,11,Central Kalvathy LP School N,Fort Kochi,C,623,Y,480,248,229,4,UDF,19,UDF recoverable,booth_pattern
18,12,Central Kalvathy LP School E,Fort Kochi,F,795,,612,278,334,0,LDF,56,LDF stronghold,booth_pattern
19,12,Central Kalvathy LP School E,Fort Kochi,F,956,,736,334,402,0,LDF,68,LDF stronghold,booth_pattern
20,13,Central Kalvathy HS E,Fort Kochi,F,563,,434,208,226,0,LDF,18,LDF stronghold,booth_pattern
21,14,LG Pai Memorial Library W,Fort Kochi Mattancherry,E,596,,459,133,68,259,NDA,126,NDA territory,booth_pattern
22,14,LG Pai Memorial Library W,Fort Kochi Mattancherry,E,571,,440,127,65,248,NDA,121,NDA territory,booth_pattern
23,15,Govt UPS Amaravathy N,Fort Kochi Mattancherry,E,511,,393,101,47,245,NDA,144,NDA territory,booth_pattern
24,16,GUPS Amaravathy Mid Block,Fort Kochi,C,621,,478,262,197,19,UDF,65,UDF recoverable,booth_pattern
25,16,GUPS Amaravathy Mid Block,Fort Kochi,C,541,,417,228,172,17,UDF,56,UDF recoverable,booth_pattern
26,17,GUPS Amaravathy SW Room S Block,Fort Kochi,B,623,Y,480,299,162,19,UDF,137,UDF flip,booth_pattern
27,18,GUPS Last Room E S Block,Fort Kochi,A,553,,426,311,94,21,UDF,217,UDF safe,booth_pattern
28,18,GUPS Last Room E S Block,Fort Kochi,A,410,,316,231,70,16,UDF,161,UDF safe,booth_pattern
29,19,GUPS North Portion Main Block,Fort Kochi,B,435,,335,201,115,19,UDF,86,UDF recoverable,booth_pattern
