local_body,ward,votes_2025,LDF_share_2025,UDF_share_2025,NDA_share_2025,winner_2025,LDF_swing,UDF_swing,NDA_swing
Chellanam,KAITHAVELI,577,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Chellanam,KATTIPARAMBU,624,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Chellanam,C M S,500,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Chellanam,CHERIYAKADAVU NORTH,644,0.0,100.0,0.0,UDF,,,
Chellanam,CHERIYAKADAVU,454,0.0,100.0,0.0,UDF,,,
Chellanam,POLICE STATION,553,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Chellanam,HOMOEO DISPENSARY,492,0.0,100.0,0.0,UDF,,,
Chellanam,KANNAMALI NORTH,363,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Chellanam,KANNAMALI,492,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Chellanam,PUTHENTHODU BEACH,420,0.0,100.0,0.0,UDF,,,
Chellanam,PUTHENTHODU SCHOOL,662,100.0,0.0,0.0,LDF,,,
Chellanam,PANCHAYAT OFFICE,432,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Chellanam,BAZAR,540,100.0,0.0,0.0,LDF,,,
Chellanam,AMBEDKAR NAGAR,687,0.0,100.0,0.0,UDF,,,
Chellanam,CHELLANAM,595,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Chellanam,HARBOUR,620,100.0,0.0,0.0,LDF,,,
Chellanam,FISHERMEN NAGAR,636,100.0,0.0,0.0,LDF,,,
Chellanam,GUNDUPARAMBU,644,100.0,0.0,0.0,LDF,,,
Chellanam,NORTH CHELLANAM,521,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Chellanam,MARUVAKKADU,437,0.0,100.0,0.0,UDF,,,
Chellanam,CHALAKKADAVU,479,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Chellanam,KANDAKKADAVU,459,0.0,100.0,0.0,UDF,,,
Kumbalanghy,BHUVANESWARY TEMPLE,489,0.0,0.0,0.0,LDF,0.0,-100.0,0.0
Kumbalanghy,ST JOSEPH CHURCH,578,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kumbalanghy,ST JOSEPH CHAPPEL,478,0.0,0.0,0.0,LDF,0.0,-100.0,0.0
Kumbalanghy,SUBRAHMANYA KSHETRAM,615,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kumbalanghy,WATER TANK,678,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kumbalanghy,KUMBALANGHY CENTRAL EAST,459,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kumbalanghy,KELTRON FERRY,537,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kumbalanghy,EZHUPUNNA FERRY,408,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kumbalanghy,SREE NARAYANA GURUVARA MADOM,465,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kumbalanghy,PAZHANGAD,407,100.0,0.0,0.0,LDF,,,
Kumbalanghy,SAMARIYA,436,0.0,100.0,0.0,UDF,,,
Kumbalanghy,ANJILITHARA,434,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kumbalanghy,POOPPANAKUNNU,486,0.0,100.0,0.0,UDF,,,
Kumbalanghy,KAMSEYI MARKET,581,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kumbalanghy,SREE KRISHNA TEMPLE,436,0.0,100.0,0.0,UDF,,,
Kumbalanghy,PANCHAYAT OFFICE,365,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kumbalanghy,AZHEEKKAKAM,368,0.0,100.0,0.0,UDF,,,
Kumbalanghy,KALLANCHERRY,660,0.0,100.0,0.0,UDF,,,
Kumbalanghy,SEHIYON OOTTUSALA,404,0.0,0.0,0.0,LDF,0.0,-100.0,0.0
Mulavukadu,PANAMBUKADU NORTH,327,0.0,0.0,100.0,NDA,0.0,0.0,100.0
Mulavukadu,MULAVUKADU NORTH,424,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Mulavukadu,TOWER LINE,421,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Mulavukadu,KERALESWARA PURAM,370,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Mulavukadu,VATTEKKATTU,343,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,ST MARYS,510,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,HOSPITAL,433,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Mulavukadu,THANDASSERY,531,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,WATER TANK,372,0.0,0.0,0.0,LDF,0.0,0.0,0.0
Mulavukadu,PONNARIMANGALAM,392,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,PONJIKKARA,471,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,BOLGATTY,381,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,VALLARPADAM,423,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,T V CENTRE,344,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Mulavukadu,ADIKKANDAM,359,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Mulavukadu,AMBEDKKAR GRAMAM,510,0.0,0.0,0.0,LDF,0.0,-100.0,0.0
Palluruthy  ,KATTIPARAMBU,1322,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Palluruthy  ,AZHEEKKAKAM,2410,0.0,100.0,0.0,UDF,,,
Palluruthy  ,KUMBALANGI WATER TANK,2683,0.0,100.0,0.0,UDF,,,
Palluruthy  ,KUMBALAM,2328,0.0,100.0,0.0,UDF,,,
Palluruthy  ,CHEPPANAM,2798,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Palluruthy  ,PANANGAD,2320,0.0,100.0,0.0,UDF,,,
Palluruthy  ,PERUMANA,2924,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Palluruthy  ,PAZHANGAD,2264,0.0,100.0,0.0,UDF,,,
Palluruthy  ,AANJILITHARA,2238,100.0,0.0,0.0,LDF,,,
Palluruthy  ,CHELLANAM,2350,100.0,0.0,0.0,LDF,,,
Palluruthy  ,MARUVAKKADU,1762,0.0,100.0,0.0,UDF,,,
Palluruthy  ,KANDAKKADAVU,2337,0.0,100.0,0.0,UDF,,,
Palluruthy  ,KANNAMALI,1849,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Palluruthy  ,CHERIYAKADAVU,1589,0.0,100.0,0.0,UDF,,,
Kochi,FORT KOCHI,2071,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,KALVATHY,2364,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Kochi,EARAVELY,2538,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,KARIPPALAM,2232,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,CHERALAYI,2639,0.0,0.0,100.0,NDA,0.0,0.0,0.0
Kochi,MATTANCHERY,2704,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,CHAKKAMADAM,1863,100.0,0.0,0.0,LDF,,,
Kochi,KARUVELIPPADY,1290,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,ISLAND NORTH,223,0.0,0.0,100.0,NDA,0.0,0.0,0.0
Kochi,RAVIPURAM,847,0.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,ERNAKULAM SOUTH,1179,0.0,100.0,0.0,UDF,0.0,100.0,-100.0
Kochi,GANDHI NAGAR,1518,0.0,100.0,0.0,UDF,,,
Kochi,KATHRIKADAVU,2253,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,ERNAKULAM CENTRAL,1289,0.0,0.0,100.0,NDA,0.0,0.0,0.0
Kochi,ERNAKULAM NORTH,1394,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,KALOOR SOUTH,1686,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,KALOOR-NORTH,1437,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,THRIKKANARVATTOM,785,0.0,0.0,100.0,NDA,0.0,0.0,100.0
Kochi,AYYAPPANKAVU,1970,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,POTTAKUZHY,1332,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,ELAMAKKARA SOUTH,2449,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,PACHALAM,2581,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,THATTAZHAM,1360,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,VADUTHALA WEST,2447,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,VADUTHALA EAST,2323,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,ELAMAKKARA NORTH,1718,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,PUTHUKKALAVATTAM,1886,0.0,100.0,0.0,UDF,0.0,0.0,0.0
