Constituency_No,Constituency,Winner,Winner_Party,Winner_Votes,Runner_Up,Runner_Up_Party,Runner_Up_Votes,Margin
1,Manjeshwar,P B Abdul Razak,IUML,56870,K Surendran,BJP,56781,89
2,Kasaragod,N A Nellikkunnu,IUML,64727,Ravisha Thantri Kuntar,BJP,56120,8607
3,Udma,K Kunhiraman,CPM,70679,K Sudhakaran,INC,66847,3832
4,Kanhangad,E Chandrashekaran,CPI,80558,Dhanya Suresh,INC,54547,26011
5,Trikaripur,M Rajagopalan,CPM,79286,K P Kunhikannan,INC,62327,16959
6,Payyannur,C Krishnan,CPM,83226,Sajid Mavval,INC,42963,40263
7,Kalliasseri,T V Rajesh,CPM,83006,Amritha Ramakrishnan,INC,40115,42891
8,Taliparamba,James Mathew,CPM,91106,Rajesh Nambiar,KEC(M),50489,40617
9,Irikkur,K C Joseph,INC,72548,K T Jose,CPI,62901,9647
10,Azhikode,K M Shaji,IUML,63082,M V Nikesh Kumar,CPM,60795,2287
11,Kannur,Ramachandran Kadannappalli,Congress(S),54347,Satheesan Pacheni,INC,53151,1196
12,Dharmadam,Pinarayi Vijayan,CPM,87329,Mambaram Divakaran,INC,50424,36905
13,Thalassery,A N Shamseer,CPM,70741,A P Abdullakutty,INC,36624,34117
14,Kuthuparamba,K K Shailaja Teacher,CPM,67013,K P Mohanan,JD(U),54722,12291
15,Mattannur,E P Jayarajan,CPM,84030,K P Prasanth,JD(U),40649,43381
16,Peravoor,Sunny Joseph,INC,65659,Binoy Kurian,CPM,57670,7989
17,Mananthavadi,O R Kelu,CPM,62436,P K Jayalakshmi,INC,61129,1307
18,Sulthanbathery,I C Balakrishnan,INC,75747,Rugmini Subrahmanian,CPM,64549,11198
19,Kalpetta,C K Saseendran,CPM,72959,M V Shreyams Kumar,JD(U),59876,13083
20,Vadakara,C K Nanu,JD(S),49211,Manayath Chandran,JD(U),39700,9511
21,Kuttiadi,Parakkal Abdulla,IUML,71809,K K Lathika,CPM,70652,1157
22,Nadapuram,E K Vijayan,CPI,74742,Praveenkumar,INC,69983,4759
23,Quilandy,K Dasan,CPM,70593,N Subramanian,INC,57224,13369
24,Perambra,T P Ramakrishnan,CPM,72359,Mohammed Ikbal,KEC(M),68258,4101
25,Balusseri,Purushuan Kadalundi,CPM,82914,U C Raman Padanilam,IND,67450,15464
26,Elathur,A K Saseendran,NCP,76387,Kishen Chand,JD(U),47330,29057
27,Kozhikode North,A Pradeep Kumar,CPM,64192,P M Suresh Babu,INC,36319,27873
28,Kozhikode South,M K Muneer,IUML,49863,A P Abdul Vahab,INL,43536,6327
29,Beypore,Mammed Koya V K C,CPM,69114,Adam Mulsi M P,INC,54751,14363
30,Kunnamangalam,P T A Rahim,IND,77410,Siddiqu T,INC,66205,11205
31,Koduvally,Karat Razack,IND,61033,M A Razak Master,IUML,60460,573
32,Thiruvambadi,George M Thomas,CPM,62324,V M Ummer Master,IUML,59316,3008
33,Kondotty,T V Ibrahim,IUML,69668,K P Beerankutty,IND,59014,10654
34,Eranad,P K Basheer,IUML,69048,Abdurahiman,IND,56155,12893
35,Nilambur,P V Anvar,IND,77858,Aryadan Shoukath,INC,66354,11504
36,Wandoor,A P Anil Kumar,INC,81964,K Nishanth,CPM,58100,23864
37,Manjeri,Ummer,IUML,69779,K Mohandas,CPI,50163,19616
38,Perinthalmanna,Manjalamkuzhi Ali,IUML,70990,V Sasikumar,CPM,70411,579
39,Mankada,T A Ahammed Kabeer,IUML,69165,T K Rasheed Ali,CPM,67657,1508
40,Malappuram,P Ubaidulla,IUML,81072,K P Sumathi,CPM,45400,35672
41,Vengara,P K Kunhalikkutty,IUML,72181,P P Basheer,CPM,34124,38057
