District,LDF_2020,UDF_2020,NDA_2020,LDF_2025,UDF_2025,NDA_2025,LDF_Swing,UDF_Swing,NDA_Swing
Alappuzha,72.5,19.5,4.94,54.32,36.77,6.43,-18.18,17.28,1.49
Ernakulam,33.16,49.04,1.93,17.35,72.95,2.06,-15.81,23.9,0.13
Idukki,51.24,40.19,0.99,23.38,72.12,1.14,-27.86,31.94,0.16
Kannur,70.86,26.68,0.98,64.62,33.11,1.14,-6.24,6.43,0.17
Kasaragod,43.96,38.27,13.4,39.84,49.43,8.87,-4.12,11.16,-4.52
Kollam,70.02,23.54,4.78,50.45,41.82,6.15,-19.57,18.28,1.37
Kottayam,58.59,30.73,3.07,31.04,60.54,4.17,-27.55,29.81,1.09
Kozhikode,55.34,37.28,1.02,42.8,51.2,1.48,-12.54,13.92,0.46
Malappuram,20.14,71.78,0.44,8.39,85.4,0.38,-11.75,13.62,-0.06
Palakkad,70.42,21.49,3.99,53.12,39.64,4.38,-17.29,18.15,0.39
Pathanamthitta,56.05,32.99,6.38,29.03,60.52,7.88,-27.03,27.53,1.5
Thiruvananthapuram,65.05,22.99,9.8,45.59,39.84,13.08,-19.47,16.85,3.28
Thrissur,67.37,24.43,4.23,55.48,37.49,4.72,-11.9,13.07,0.49
Wayanad,46.12,50.02,0.88,20.59,75.88,1.34,-25.53,25.86,0.46
