mk_φ10,zx_ψ21,zx_λ72,jl_ψ23,zx_λ74,mk_φ15
0.492269,-0.998231,-3.694262,-45.496163,-9.279917,-93.171236
1.065094,2.111003,-2.755987,7.855198,-1.292284,-93.15876
1.747216,-1.292967,-3.282005,-2.405027,-3.625663,-91.018972
0.65841,1.0,1.464431,12.446637,-6.840742,-93.717588
0.953147,0.568158,-2.263451,-91.311841,-1.797362,-95.962234
0.830746,0.712509,-0.085061,28.786694,2.659288,-91.781919
0.900357,0.0,0.483517,6.049173,-4.161647,-93.390445
0.007646,-1.148534,4.78001,-2.118326,-5.147327,-91.875646
0.832295,1.099508,-0.813275,-61.397626,-2.054152,-89.632333
0.224362,-1.492742,-1.444926,-63.111345,-13.578955,-91.763065
1.328216,-1.0,-3.244803,-60.587692,-15.630938,-94.109517
0.526602,-1.0,1.791545,8.301161,-2.326573,-95.934138
0.927,1.0,-0.793122,11.638555,-5.496753,-93.102493
0.886732,-1.0,-5.16727,-77.543505,0.269805,-91.215059
0.495397,-0.194949,1.221281,7.282637,-7.223839,-90.343513
0.077852,-0.694275,0.81869,4.78573,-9.118625,-91.16416
0.108724,1.0,2.218823,3.26552,8.895553,-89.684102
0.693277,0.508361,5.461665,22.28889,-1.726322,-90.534676
1.27851,-1.169594,-5.166538,-3.535144,6.407767,-95.841141
0.792504,1.0,-4.992741,24.457027,-12.258963,-90.305789
0.417906,1.0,2.068885,-75.330102,-3.563377,-93.4266
1.45295,-1.0,9.369067,-61.458954,3.821444,-92.334588
1.342184,-0.64374,1.292546,-5.656997,-12.845303,-94.52436
0.329836,-0.422534,-0.214938,-32.439995,0.635209,-92.693536
-0.414325,0.0,-0.231416,8.333061,-6.48508,-92.171691
1.301106,1.0,-4.03807,24.237185,-11.993702,-91.153051
-0.646621,-1.0,-1.596281,-4.096486,-7.414214,-92.140241
0.906733,1.0,-6.520836,-33.799494,0.142111,-95.082351
0.968362,-0.364268,0.493095,-25.35434,-9.245011,-93.650007
0.950393,-1.149658,-1.930011,-64.799051,0.455276,-95.497113
0.808072,0.0,-6.316153,20.854948,-7.714259,-93.803848
0.365116,1.0,2.22517,18.932737,-6.192312,-91.370943
1.575743,-1.0,-1.018493,-46.600364,-10.711441,-89.332119
0.563672,-0.618143,1.339752,-39.526315,-7.738106,-94.023847
0.144869,-0.648275,1.03531,-29.261088,-10.043363,-89.772535
1.711242,0.0,-8.091,10.328363,8.773184,-94.603711
0.95384,1.0,-1.625186,-35.001427,-4.739886,-95.120137
0.726727,1.0,0.756754,-69.779444,5.703302,-90.845416
0.187452,-0.722078,-3.931347,20.484391,2.398398,-94.998791
0.206798,1.001204,-5.924819,-13.618122,3.26815,-90.613923
0.456736,0.019605,0.724201,-56.028283,-9.094217,-91.150681
0.727798,0.196739,3.06635,-84.996326,-4.331876,-93.081265
2.265852,-0.122113,-1.056942,-4.283166,-13.268931,-91.833924
-0.007293,-1.417588,5.951713,8.621587,-0.144444,-94.265076
0.048258,-0.115512,2.729277,-23.193874,-9.219663,-91.364125
0.13555,0.871128,-1.7858,-72.270767,2.808457,-95.973657
1.275575,0.249334,-1.712737,0.702191,-4.049527,-93.141541
-0.330651,-1.0,-6.594174,3.668785,-5.35004,-94.351363
0.872021,-1.278425,-7.6887,-69.885735,-0.141874,-94.320151
-0.165297,0.375435,2.772539,24.162775,-0.729987,-93.80788
0.291973,1.0,-1.443561,-66.949397,6.709381,-89.635288
0.580551,-1.369269,2.706739,-3.110945,5.05014,-90.133164
0.45682,1.0,4.464414,-7.061423,-7.629637,-95.452045
0.643382,0.413924,-1.856294,-88.426084,0.254982,-95.301936
1.087047,-0.501629,-1.214288,-81.979397,-1.880904,-90.642657
0.76431,-0.426868,-4.980444,3.167106,-3.076222,-94.906614
0.321373,0.0,2.23128,8.30621,9.500475,-92.842218
0.542895,-1.0,-2.098175,-13.866134,-13.11693,-94.43721
1.855332,1.0,-2.898955,10.133731,0.071184,-93.016532
-0.268541,-1.0,-2.161673,-28.890953,-3.636194,-94.253685
0.401956,-0.173779,2.212254,-46.946253,2.023273,-94.221551
0.953663,-1.0,-4.602463,-16.260758,-10.339801,-93.095602
0.195153,0.72172,-1.673733,21.881594,-9.513256,-93.620324
0.457924,0.905242,2.662741,-45.091982,-4.372121,-95.78689
0.35882,0.0,3.673079,-15.921543,-3.213102,-93.373989
0.669773,-1.743284,-2.295424,-94.284751,-9.173577,-89.463923
0.897678,1.0,3.531409,-16.697427,-15.988313,-93.603589
-0.11553,2.43436,0.728868,29.732458,-1.906476,-94.960729
0.986396,0.0,0.151099,-95.092457,1.654549,-91.423106
-0.173951,-1.0,-0.371273,-76.691104,4.048197,-89.413258
-0.102806,0.0,-1.378056,8.255848,2.665202,-94.354068
1.101305,0.0,-5.80145,-41.188723,-5.314303,-89.787894
-0.055079,0.0,-1.360116,-42.649033,2.690486,-94.624631
0.373593,0.756561,-6.355303,28.036372,4.637058,-92.32786
0.573354,0.0,0.486854,-92.643064,-2.53684,-92.979652
0.61505,0.0,-3.336261,-84.390944,-8.490448,-89.773263
1.223006,0.326436,2.426593,17.816208,-2.415298,-91.169703
0.912562,1.486449,1.678562,-47.323081,-5.686845,-92.195058
0.202909,-1.0,4.942187,1.013621,-7.068231,-90.617947
1.485903,0.0,-1.378596,-42.06394,-5.545633,-93.946214
0.6669,-0.163479,-0.748718,-17.880897,0.378372,-90.670301
0.8888,0.292963,-1.337608,-30.86096,-1.150152,-95.069504
1.153158,-1.0,-1.84244,-50.305094,-5.947672,-90.719419
0.114837,-2.613523,0.645406,25.91495,-8.928425,-93.695864
-0.105129,1.0,-5.193677,15.136584,-4.125423,-94.85382
0.657845,1.0,3.887448,8.005962,-8.965425,-90.431711
0.873778,0.0,-0.787693,-40.248548,-6.013524,-93.106883
1.015623,1.0,6.780684,-9.115641,-11.047192,-91.021316
1.141358,-0.626573,2.707737,-57.302901,-15.645587,-90.176149
0.409758,0.0,-1.78242,0.994122,2.616922,-92.720495
1.627511,0.350497,-2.058082,-29.481778,-1.524173,-96.065335
0.353419,1.0,-1.003888,-16.037712,9.269072,-93.645558
0.912146,1.0,6.515336,28.720572,8.236633,-96.372543
0.153058,0.534065,-6.132546,-86.210709,-3.081131,-93.941453
1.149184,-0.429219,2.072394,8.729221,-3.02521,-90.420377
1.243893,0.0,1.241106,-53.53677,-5.245219,-90.152894
1.133808,0.554839,-3.492701,-33.317704,-1.059882,-90.490024
0.452187,-1.0,7.938788,-91.055016,-14.58844,-92.444124
1.070156,-1.0,3.710466,-62.826295,3.700509,-94.780729
0.948723,-1.0,-4.281675,-21.760399,-11.679955,-91.008412
0.596391,-1.0,-0.215122,1.249255,-15.14355,-91.810941
0.593135,0.0,1.133858,-3.757804,-7.721821,-95.005619
0.858129,-0.788867,-0.291689,-58.369291,-8.856317,-90.021785
1.208551,-1.0,2.68276,-29.802252,-3.048624,-95.537219
0.53753,1.0,-3.561293,12.065598,8.370011,-91.879694
1.00642,1.0,4.005745,-34.772439,6.041728,-96.094152
1.237096,1.0,-2.239452,-45.302058,7.655287,-89.784857
1.627204,0.0,-3.124011,-49.515781,8.314177,-91.355991
0.013792,1.0,-4.834439,-45.409507,-2.183795,-95.814216
-0.412011,1.0,5.509777,-15.89148,-10.017884,-91.724894
1.161287,-0.006488,-3.533397,-21.308969,-12.461074,-93.695459
0.038084,0.401471,-2.030949,-70.905148,1.289421,-90.160773
1.02965,0.205724,-7.287374,-62.870328,-5.062469,-94.929832
1.176275,1.632861,-4.66653,-67.791471,-0.741425,-94.658666
0.611224,0.887694,2.127776,-2.424714,-1.292352,-90.336073
-0.632054,-1.968104,-5.589334,-23.828156,-10.043065,-94.294491
0.400132,1.318109,5.623247,1.522156,3.59905,-93.349951
1.868149,0.957079,-2.118273,-81.041862,0.10927,-90.528083
1.377917,1.0,-3.144996,24.719067,-8.22773,-92.599704
0.071264,-0.981989,-2.234481,-62.6731,-6.251512,-89.563252
1.218223,1.017118,-3.07956,-0.882938,-6.546329,-94.466767
1.148484,0.0,0.461074,13.441163,-0.702023,-94.430104
0.369668,-1.30057,-2.3233,7.582425,-12.071429,-96.247581
0.500585,-1.0,3.071379,-27.764212,-12.60909,-94.37285
1.126017,0.0,-4.453204,-53.00547,6.143954,-89.856634
