dw_δ90,xr_μ1,tn_μ2,gy_φ13,tn_ξ4,tn_ξ5,gy_Σ6,tn_θ7,bh_ω38
25.259752,-3.951064,-34.25234,-3.775767,1.992868,64.584289,-2.995863,-1.244838,61.476833
33.175894,-6.243807,-33.428223,-0.515576,1.003556,69.801476,-11.141651,1.0,67.681784
48.194167,-1.413082,-40.796144,8.158149,1.812495,71.453399,-26.299292,0.418385,51.3361
32.790779,10.076723,-19.905414,-3.22304,8.592377,55.444699,-68.060091,-1.0,51.919868
30.09097,10.708661,-41.559903,3.269119,2.21476,54.597775,-80.425265,0.0,62.540841
23.049854,12.939717,-23.618991,-6.326599,1.370872,78.955969,-45.921798,-0.389422,60.496045
22.349066,-4.123116,-39.309203,-7.875318,3.98736,77.317287,16.38959,1.0,62.891666
39.923213,3.23896,-20.837761,-9.081224,7.459683,54.918934,30.820982,-0.728828,61.975357
43.978711,5.048761,-20.999405,-5.064051,6.962135,38.883681,-1.411727,1.0,50.50245
25.079033,1.325154,-35.899568,-15.927441,2.811201,36.263334,-67.874927,0.864902,55.409134
25.123054,4.613248,-33.238473,2.251612,5.129657,43.217048,18.521759,0.324625,65.281401
37.92282,11.244251,-43.84245,1.424948,2.62249,81.711488,-35.971338,1.0,50.131833
33.386698,9.643722,-28.201044,7.906699,6.706857,27.09142,-85.409718,2.075557,45.015825
33.479834,8.325322,-11.844729,1.76824,3.754663,37.149757,-74.981806,0.0,57.935432
43.146868,5.575722,-35.484317,-12.646252,7.690413,83.594314,7.806936,0.0,51.357213
36.042519,-8.196736,-35.222844,-16.367496,6.241914,42.38237,-20.443067,0.0,66.222834
42.715888,2.233423,-38.785055,-3.97475,4.036718,39.464998,41.368266,-0.765235,50.528162
15.380644,-8.206251,-17.633842,-7.984157,4.313496,45.136881,-7.692447,0.0,52.896838
19.11162,21.838708,-30.168711,-5.476186,4.703369,61.305307,2.734918,-1.105168,58.283673
45.520586,7.789921,-11.568048,-16.663604,7.510408,47.28858,38.021584,-1.83996,57.878832
22.436945,5.518929,-14.008758,-17.410916,4.548289,79.967772,-12.753744,1.0,46.861181
39.530171,8.383997,-33.14602,16.849582,1.424347,60.888168,-70.360203,0.0,47.26657
27.173566,9.812996,-37.963412,-7.847169,4.336374,26.657618,-4.611328,1.0,49.221176
21.498567,6.221667,-21.292176,5.426446,8.460391,58.603338,-67.870992,0.678776,68.265169
44.120436,0.465601,-22.274445,-3.075443,5.280722,34.887103,-75.87508,-1.0,54.104805
40.456436,5.469699,-17.312659,3.566855,7.977733,60.888281,-13.982582,-1.0,58.713941
24.304484,0.782979,-37.825362,12.124058,2.754128,62.562173,-75.494771,-1.0,68.113975
29.272536,-9.507649,-34.732676,-0.703872,7.055668,57.545552,40.500969,1.0,67.441861
45.691641,-4.953571,-16.936475,-3.704072,4.968254,40.805581,34.404355,-0.995211,68.079137
37.118342,0.197034,-33.582082,6.814598,6.889023,41.005541,-4.189941,-1.0,61.384837
23.611297,2.889853,-13.81854,14.701228,8.125668,49.901265,4.97902,0.0,43.63644
23.929685,4.716178,-40.252275,-6.380459,10.302383,27.467551,-39.007785,0.0,54.933867
28.295574,1.80552,-26.963563,7.06074,2.203619,29.197598,-18.501121,-1.609793,60.340746
28.77605,3.472532,-22.389451,2.960557,2.815536,57.893905,-65.720317,-1.0,60.389172
46.7145,5.299534,-13.912931,4.312117,3.815717,31.140031,-73.74032,-1.0,63.215048
21.432784,0.804553,-38.612888,8.191559,5.283762,35.282214,-49.338189,-1.056124,56.470218
19.809305,10.762905,-30.052136,0.118307,3.0224,82.196437,-1.743843,-0.756682,51.46964
38.805294,-3.942563,-28.800002,-8.501749,5.827793,51.568273,-43.995298,0.0,48.10335
43.56656,-9.420085,-14.80672,-5.520092,1.939856,62.187435,-2.846113,-1.0,62.890605
24.810142,11.413007,-33.507876,4.104066,7.522007,47.844225,-58.338642,1.0,51.249675
43.584795,10.804941,-28.907225,5.081556,5.223619,77.55687,-72.294546,1.0,62.770379
37.923255,-8.451428,-25.627459,-15.344754,6.794418,59.098573,16.909832,0.0,62.479885
43.063771,12.079668,-41.002622,17.206836,3.494537,28.18068,-26.374075,1.0,48.587413
32.620398,8.168372,-15.125495,12.007968,4.34744,58.41338,42.286378,1.154312,56.766852
44.614197,-9.328114,-33.734258,-3.649224,10.37923,54.911493,-18.136661,0.0,58.653057
30.79833,0.495619,-11.285564,-0.980243,8.995928,50.507887,-23.98515,0.083832,65.0693
36.095564,3.923561,-17.639804,-1.513872,4.099826,78.512682,-70.930414,0.0,54.749298
27.943298,2.688229,-42.9747,12.647401,6.190527,38.300413,35.148954,-2.16047,51.88583
19.246814,6.836041,-26.971353,7.49427,2.038576,81.586376,-58.607641,-0.845465,54.456435
28.418807,1.929665,-40.212232,-8.639824,3.166063,74.032047,-44.534896,1.456408,67.394707
36.898431,-2.520828,-23.611046,0.2853,5.503696,43.397561,-46.689377,-1.0,53.909385
28.282267,2.663639,-25.804156,-6.589032,4.512547,78.655601,-49.077621,-0.589362,53.55538
47.970031,15.217482,-20.824097,-8.236579,9.066069,31.528501,9.286849,0.0,65.031655
34.601998,5.917599,-38.616947,-6.909211,3.179461,78.963376,-24.309317,0.084587,68.263975
29.126879,16.294816,-37.234382,-11.944608,5.917751,65.639138,35.353353,0.637206,47.101904
28.908958,-0.347753,-43.190588,15.907883,6.242638,40.682727,-39.225596,0.519524,44.089522
37.441274,10.663199,-39.376263,-13.41026,7.240806,78.943574,18.887754,-1.0,45.860448
20.980455,8.225591,-44.749039,1.807053,4.732258,67.876857,-13.814553,0.0,61.596694
36.272541,9.592106,-23.239871,7.686922,7.818608,59.966522,2.599889,-1.597045,61.117916
26.168262,12.059833,-15.115062,-12.308017,3.118863,70.224448,27.390275,-1.0,49.887353
40.62277,2.176462,-17.49585,7.233405,3.082339,75.144969,-38.919743,-0.016155,65.559542
30.360267,5.387518,-41.792801,5.112172,4.634917,30.678737,-23.582524,0.262247,52.480321
41.506159,12.241623,-13.110245,-4.024069,5.573904,72.298762,40.269941,0.042395,50.326115
21.650083,-1.962723,-15.147684,-4.305767,7.937376,31.830175,-5.932061,0.0,68.203062
36.589455,9.726665,-28.212252,3.455741,3.37686,29.082044,-80.892904,0.101798,51.686185
20.143476,10.309452,-14.144013,10.434915,6.413018,39.182785,17.169583,0.0,57.875743
32.57901,4.648812,-35.528616,15.18801,4.380484,50.631812,-10.548923,-1.0,49.392594
19.883826,14.572109,-21.557043,-8.189931,5.389191,62.061721,8.692767,-0.456562,48.44591
27.157962,7.093893,-24.909317,8.887834,4.276172,73.311583,-16.862126,0.0,67.427306
30.469063,18.533753,-27.881211,-10.64096,9.856114,55.452624,-31.67997,0.0,61.790397
27.362416,-13.09256,-19.213308,2.848794,7.184922,45.200614,15.053545,-0.256199,53.873691
47.099161,14.377817,-38.521864,10.116876,9.261673,48.51915,13.813248,1.78774,61.244783
47.984942,-1.425979,-36.483037,-8.633234,4.127875,63.669151,25.39891,-0.599134,52.170597
21.360407,1.563993,-42.237397,0.56216,6.284322,71.226534,-13.901877,1.0,58.918925
39.630087,6.787062,-40.799741,0.753812,2.262573,71.997685,-41.934063,-1.0,57.689527
35.700935,17.387665,-37.347559,12.422399,5.235305,60.4417,-41.772003,-0.646585,46.680916
24.959836,10.882111,-16.763504,8.052585,1.942452,83.505959,-75.199315,-0.871898,57.645038
17.082473,-2.107875,-35.691172,-6.227211,8.895395,77.93085,-70.973509,0.0,64.075085
19.852599,13.477564,-19.520296,-10.267398,4.47531,53.020271,41.678657,0.0,45.133151
23.330893,-0.740407,-24.364399,7.255164,8.776876,72.999689,-24.478843,-1.0,48.909399
