xr_θ0,bh_Σ1,mk_ψ22,mk_μ3,fp_δ94,fp_ψ25,gy_μ6
-0.340902,6.660837,-35.36811,5.687475,0.53696,-1.211983,14.756541
-1.0,9.02762,-22.411541,-0.037474,-0.25607,-2.366349,11.371887
0.648979,-19.211443,-35.788163,-2.831971,1.543344,0.941394,11.503334
0.0,-7.241519,-25.563181,6.384533,-0.484461,-2.278787,13.152479
-0.632454,-7.100796,-36.122319,12.784137,1.021775,1.904924,15.340441
-1.0,-2.753983,-30.896557,-2.562166,0.291682,-2.476524,11.673266
-0.278327,4.769082,-38.609376,6.639334,0.701032,-1.02359,10.612242
-1.287186,8.901949,-25.626436,7.092947,-0.972067,1.98198,13.479027
-1.0,7.67502,-32.107175,0.063969,-0.482799,-7.02368,11.133361
0.0,8.537055,-35.055123,9.60732,-0.543742,1.270148,10.843657
0.055518,8.322313,-39.398045,-2.575508,-1.61466,-3.051717,11.76958
1.43737,-2.949486,-38.004264,8.373849,1.033013,-3.602816,10.497072
0.516051,14.975816,-32.538512,1.953895,0.504584,-4.554279,12.956637
0.013314,-4.153454,-36.709908,-3.512708,0.463605,-7.0096,14.821676
1.0,-8.796135,-36.488775,14.153261,-0.379213,4.400541,12.191504
-0.242176,5.79425,-26.575302,-1.128183,-1.015599,-0.309305,11.437955
1.0,-6.270222,-27.974817,-3.100964,-0.232225,3.631322,14.072847
0.0,0.54786,-33.8537,-6.994817,0.258141,-1.320261,13.049967
1.349015,4.214624,-35.084924,4.425536,0.75393,-0.438381,12.130265
-1.0,9.609105,-39.232479,2.644766,0.290194,-0.355225,13.85629
-0.163219,7.281757,-31.942266,0.820027,1.087203,-1.850065,14.023902
-1.0,-5.151712,-25.197232,-9.654245,-0.090874,-2.484085,13.558845
-0.180234,9.225693,-32.133753,1.429713,-1.907724,1.827327,11.677828
-1.0,2.213454,-37.302344,9.441976,-0.663498,-4.045786,15.087803
0.0,-0.229417,-28.479697,-4.533214,-0.351299,-0.000539,12.079024
0.147767,-5.886004,-31.244175,7.223361,0.068865,-3.671571,15.72036
-1.6169,-0.449608,-36.885862,13.286323,0.084638,-2.750873,14.157074
-1.0,-0.043748,-23.805678,14.456014,1.140065,6.663331,15.135984
-1.500741,1.402888,-34.672063,-6.718877,-0.990934,6.345932,14.57377
1.174411,7.109526,-34.894331,-2.804266,0.514973,-3.429986,15.058189
0.0,6.747392,-38.185497,4.904386,0.571344,-5.767378,13.94737
-1.0,7.059591,-34.429646,-6.760536,-1.468999,-0.763406,10.949628
-1.0,7.545615,-22.240711,3.483006,0.332501,-4.78854,13.848525
1.086739,8.132479,-32.951533,5.091729,0.010911,1.039354,12.824857
0.0,4.489459,-33.694134,2.387888,-0.458717,-5.15348,14.104912
1.0,-0.383546,-33.55472,-4.38421,0.678328,-7.981846,14.541239
1.0,-2.321316,-39.078129,3.655495,0.781083,-1.993878,14.660682
1.0,-0.451997,-39.701903,1.472222,0.684783,-4.010138,12.671272
0.0,0.570485,-39.096165,-3.676865,-0.723945,-2.318713,13.464283
1.0,1.735424,-28.303372,-1.004753,0.498233,-6.704531,11.124916
-0.593705,5.232072,-38.425468,2.765193,-1.480128,-4.270406,15.265966
0.532015,0.69287,-31.653596,-3.719313,1.15306,-3.114559,11.576871
0.650247,9.77352,-38.819065,-0.604592,-0.016863,1.537548,11.618657
-1.0,3.172726,-29.921266,-6.880736,-0.449988,0.184417,13.818068
0.0,-0.271657,-24.299225,6.014956,-0.688418,2.636011,11.904149
-0.420117,11.281066,-33.343984,-0.523596,0.964686,-1.42686,13.634787
1.0,7.218087,-23.626843,-13.948045,0.828617,-1.430631,11.604157
0.386338,6.735302,-33.15515,8.679283,0.956924,-0.192717,11.576748
0.149248,-9.554548,-31.226281,-0.065555,-0.409319,7.716233,15.577347
1.0,-0.658199,-29.382974,1.804296,-0.045277,0.193896,14.950991
0.908738,-10.314842,-36.342388,-1.484026,0.749275,1.719346,12.365495
-1.0,7.581372,-27.414869,9.530724,1.260539,-3.809571,13.92793
1.186007,3.310372,-39.505089,-6.758986,-0.536786,-1.994137,11.008111
0.271954,8.804581,-22.284384,-2.373307,-0.689448,-8.240079,10.536557
