dw_ψ20,gy_φ11,jl_λ72,bh_μ3,mk_ξ4,bh_μ5,xr_λ76
0.0,7.979446,-4.330129,-76.246038,67.774023,2.102243,0.29338
-1.251712,21.893306,-6.199429,-86.104338,74.602845,1.449184,-0.713227
0.808475,6.206546,-5.105348,-61.706799,63.703548,1.905062,0.0
-0.078677,16.797466,-3.637408,-3.239692,49.415618,1.885581,0.0
1.250697,15.408522,-7.331524,-24.280655,50.083798,1.882031,1.0
-0.43903,25.000815,-5.377495,-31.73226,54.842055,1.932164,-1.0
1.496209,20.633338,-4.005513,-66.458643,71.075162,1.869064,0.008708
0.045213,17.842605,-2.838401,-31.228839,63.466159,0.712302,-1.0
0.962413,6.459493,-0.816512,-12.712419,57.701678,2.153708,0.0
0.965278,0.55008,-3.613961,-17.430175,46.96055,1.578703,-1.188149
1.0,3.086382,-5.269961,-39.36574,74.825811,0.836391,1.466807
0.0,22.004011,-6.948975,-42.046256,58.547133,1.972014,-1.01146
0.346787,21.341112,-4.042592,-64.029949,62.280263,1.342464,1.0
0.0,25.894345,-4.205629,-2.787121,48.782712,1.53926,0.004629
1.0,16.580319,-5.705062,-76.365211,66.741051,1.928296,-1.0
0.045157,7.334432,0.266405,-27.65388,67.419868,1.966483,-1.460453
0.069983,26.550864,-3.022849,-46.71874,74.947652,2.143652,0.896871
-1.353197,7.195667,-1.028701,-11.577914,69.708334,1.794032,0.354049
0.0,12.866888,-9.136338,-44.64397,59.723245,1.103298,0.581661
-0.386969,11.143706,-4.342072,-5.631224,45.608647,1.76453,-1.854424
-0.249435,20.678739,-6.10826,-57.230462,49.535416,2.740679,-1.891145
0.0,19.745891,-12.813592,-66.408857,48.332188,1.532957,0.973486
-1.0,20.702089,-6.450302,-11.938906,49.482611,1.40735,-0.47501
0.0,10.322116,-2.294803,-45.822952,63.540813,2.220495,0.2438
1.31414,3.273806,-2.294341,-6.03959,48.432574,2.824983,-1.0
-1.0,0.086454,-2.085138,-10.797983,69.667221,1.398323,1.0
1.359563,28.073321,-7.403738,-68.096217,57.051922,1.716018,0.0
-1.0,0.010801,-1.465617,-91.533622,76.329494,0.558822,0.0
0.50807,19.356972,-4.339456,-40.107525,58.957393,2.48576,1.0
0.652279,28.613451,-0.845452,-23.799596,75.207004,1.523128,1.183033
0.0,21.11631,-1.394021,-2.788825,62.560102,1.400692,-1.0
-0.79153,10.867693,-6.319695,-60.026764,55.204285,1.36954,0.0
0.87411,7.716378,-5.100683,-23.928673,57.587065,1.929715,-1.0
1.177112,0.622904,-4.550457,-31.995002,79.049557,2.207917,-0.298964
-1.0,6.263384,-1.088437,-61.802524,57.233438,1.951463,0.0
-1.0,-3.82533,-4.156861,-57.147858,57.77942,0.96112,0.0
0.599475,12.078715,-1.732613,-31.343331,54.658023,2.631798,0.0
0.0,6.48345,-2.51156,-84.63314,76.992901,2.190382,0.297605
-0.995272,23.899715,3.303801,-84.948444,76.695104,1.980059,-1.0
-1.0,15.764911,-5.234448,-71.642458,58.985593,2.746698,1.134505
-1.0,26.452282,-0.998552,-60.878687,50.44614,1.394476,0.40131
0.0,21.40619,-2.840695,-83.398432,62.068123,2.367853,-0.154574
-1.0,9.44035,-5.671687,-11.75329,48.903446,2.442322,-2.302952
-0.594682,13.159516,-0.100631,-86.157082,51.309606,1.565294,-0.630321
1.0,15.942284,-4.967568,-15.164642,48.050743,2.251527,0.516579
-0.081392,15.182173,-3.147638,-62.2419,50.691107,2.135862,0.0
-1.0,-2.926312,-1.00091,-47.085323,46.411278,2.25545,0.0
0.0,-0.041717,-6.329002,-40.442457,74.107333,1.417223,0.590628
0.0,20.046285,-2.085794,-34.136727,66.431082,1.940907,0.707314
-0.402627,15.208059,-5.061738,-67.066537,45.207904,1.459574,0.0
-0.426289,25.200079,-3.173325,-40.250045,44.987945,1.298596,0.556001
0.976832,19.020875,-7.571231,-70.200035,49.927008,2.631292,0.0
1.0,15.19507,-4.253044,-34.66062,49.976443,1.684635,0.907434
0.0,2.06358,-5.728198,-10.393444,59.607411,1.546686,-1.0
1.063153,15.338466,-10.037214,-92.999853,64.693949,0.911056,0.439801
-1.0,15.623639,1.674475,-0.802018,68.135226,0.948642,1.285184
1.0,24.904842,-3.103179,-20.086626,44.75063,2.170732,0.0
1.394975,24.903025,-6.167092,-87.998025,49.585412,1.739868,0.491253
-0.14674,6.038353,-3.65665,-92.565521,79.727303,1.858799,0.0
1.908294,6.513195,-2.351606,-49.272556,66.211054,2.16599,-0.441446
-1.0,25.390049,-2.724579,-86.363676,56.165481,1.774766,0.384681
0.282268,10.530954,-9.600667,-52.281586,56.830505,1.937634,-1.0
1.380312,5.722424,-2.59863,-47.767024,61.252242,1.31314,0.0
1.0,26.921446,-1.188314,-49.676069,79.219777,1.9444,-0.015039
1.0,4.905333,-9.417465,-2.845584,79.504841,1.240147,-1.972128
-1.0,20.885562,-2.073019,-22.94781,72.177109,1.665615,0.038039
1.627598,27.182125,-1.489559,-84.912472,60.06675,1.846066,-1.0
1.0,25.222113,-0.280495,-36.786699,67.559376,1.600431,1.0
-0.413508,13.468884,-0.334245,-16.896134,51.156521,2.325457,-1.0
-1.0,0.193085,-4.307998,-19.673542,62.346443,1.297712,1.0
-1.0,2.177188,-2.92646,-65.205824,54.439713,2.816627,-0.781293
-1.0,19.624411,-2.870101,-7.115617,55.806138,0.802171,-0.365999
-0.109459,2.732411,-2.040385,-15.104121,64.500809,1.230761,0.78416
1.0,3.958466,-4.229179,-42.663227,59.540714,1.247387,-1.229499
-0.608043,1.598569,-2.959557,-43.268007,79.049644,1.00127,0.601024
1.087196,21.155409,-9.615014,-33.677324,50.583623,2.43734,0.351903
1.0,16.079229,-1.74764,-77.78161,75.229095,1.632323,0.0
1.0,21.119469,-0.650816,-33.27348,50.107166,1.759668,0.999773
1.0,19.332782,-7.601604,-79.831451,73.88281,1.287931,-0.470665
-2.859381,-1.58724,-2.804003,-54.222516,54.003781,1.369735,-0.252338
1.0,2.151297,-5.593889,-45.289695,73.935612,0.867781,0.0
-1.009825,9.480984,-9.249796,-91.045651,51.261084,1.697723,0.0
-0.024501,5.176262,-3.425917,-64.409057,56.279419,1.335973,0.319486
0.0,-2.874797,-2.383322,-50.210366,70.390926,1.71705,0.320271
-0.176672,30.90964,-1.791667,-22.459332,50.396852,1.743637,0.0
1.0,-0.794782,-9.40301,-27.271029,79.678562,1.93813,1.0
1.013606,8.063263,-0.957981,-33.7639,61.349537,2.181994,0.656688
0.756136,21.485074,-7.213445,-43.464825,65.233214,1.627307,1.0
-0.863093,4.117303,-2.903809,-39.06145,66.128037,2.702546,-0.267181
-1.254764,20.965462,-4.627427,-12.210903,44.596039,1.567175,0.371066
1.538564,13.462176,-1.630932,-63.783908,69.334576,2.223362,-1.0
0.0,-3.672709,-1.62816,-6.46852,58.604233,1.969767,-0.756737
-0.427136,20.051073,-5.653495,-16.570614,66.007619,1.934413,-0.0555
1.0,11.633064,2.393751,-64.809024,55.624369,1.45392,0.577506
0.101483,8.897285,-3.996466,-60.858599,69.920458,1.448484,1.0
1.0,12.7674,-5.418446,-36.165999,75.096777,2.046291,1.0
1.0,12.094544,-1.612185,-35.791421,68.287976,2.719751,1.0
1.0,9.074795,-6.634176,-36.278798,64.161172,0.95019,-1.0
0.087894,-0.05648,1.94788,-62.678578,64.441359,2.123762,0.0
0.885595,4.215151,-5.686232,-81.521699,66.097424,2.639435,-1.0
-1.0,16.7514,-3.127438,-3.899656,65.871601,1.631395,1.0
0.891111,19.0457,-3.488292,-47.291553,45.287822,1.824812,0.0
-1.0,6.798586,-8.598477,-70.68784,49.821841,1.934196,-1.390383
-1.0,5.95309,-2.937627,-47.295445,56.103953,1.993467,0.308904
1.0,17.820102,-0.743953,-8.056759,61.045361,1.887607,0.353543
-1.0,1.094771,-2.210459,-77.162042,74.256297,1.73392,1.0
0.0,17.486514,-1.55792,-53.86968,48.104767,2.165989,-1.0
-1.0,-2.824343,-3.949663,-53.140556,74.631056,3.016922,1.715251
1.0,23.402465,-5.453188,-24.055442,54.306364,2.729354,0.617885
-0.491431,4.01164,-6.139779,-18.366977,75.022981,1.1913,-0.0883
-1.057024,28.954962,-10.821787,-27.918653,65.504116,0.923033,-1.0
-0.162117,10.1146,-4.063118,-42.854492,74.835694,2.59048,0.3943
0.0,4.321744,-5.851871,-20.094133,46.816633,3.091288,1.0
-1.147867,16.219643,-2.007055,-15.539956,61.470087,1.20554,1.0
0.017603,9.547389,-10.000402,-72.64032,47.558584,1.473353,-1.0
0.0,10.966675,-3.589591,-69.479345,51.082341,2.376401,0.730192
-0.809602,17.356566,-7.805672,-6.608459,56.621584,1.598884,0.573216
0.141863,13.167929,-3.399243,-68.240011,53.858347,1.560353,1.177185
-1.0,30.834342,-3.592679,-14.036206,44.173849,1.283471,2.332333
-1.0,29.513883,-4.993783,-35.630114,65.56426,1.860282,0.0
-0.898548,2.587489,-1.931512,-25.538035,70.464319,2.718357,-1.0
-1.0,13.851972,-0.036817,-82.808854,65.999683,1.97494,-1.105276
0.0,30.022108,-6.873299,-76.749431,67.510386,1.437928,-0.222713
-0.396371,20.055756,-9.509236,-88.443946,59.220058,2.520711,-1.0
-0.336105,25.759735,-1.98195,-76.50823,57.178836,1.833319,-0.546955
0.461173,14.389415,-5.413132,-76.371309,47.191784,2.004247,-1.0
1.0,0.924839,-6.244628,-25.917377,68.333902,0.636462,-1.262731
-0.13497,29.646506,-3.059223,-15.194922,53.28414,2.004353,0.076981
-1.831256,18.501069,-2.986154,-18.586832,47.763633,1.224804,-2.414225
-1.0,-1.320138,-5.763107,-70.532122,50.590683,1.028787,-0.262313
0.894686,30.553881,0.977369,-38.206445,57.69503,1.643704,1.0
-0.091428,24.983997,-9.528538,-23.104392,77.524925,3.206122,1.0
1.0,0.75932,-7.731826,-28.558027,51.459695,1.716375,-2.678369
0.302989,11.671122,-8.202324,-11.29908,62.838503,0.715448,-0.006935
-1.90256,3.459851,-8.828818,-80.420075,71.424308,1.945458,1.0
0.0,-3.456499,-11.369885,-30.839669,76.691189,2.316395,1.0
-1.025857,25.222071,-5.015679,-59.498999,48.4911,2.449829,0.0
-1.0,-2.186951,-0.995246,-51.650013,77.61616,1.234698,-1.058294
0.149867,8.218853,-7.728525,-82.242883,57.136075,2.147576,0.830671
0.0,12.103996,-7.03656,-52.962451,55.73,1.974019,0.731373
1.19805,25.716981,-7.76288,-12.281984,62.196448,1.675776,-1.0
1.0,24.111524,-5.649461,-36.348325,61.011854,1.947301,0.0
-0.052173,24.744319,-1.726004,-3.162518,71.31985,2.550992,-1.061615
0.0,22.543994,-5.472431,-7.19026,72.58703,1.415812,0.386088
-0.851554,-1.957032,-4.287564,-78.564663,64.640835,2.550077,-1.0
-0.6892,16.677839,-7.335693,-4.531335,67.10855,1.480272,-0.131525
0.460141,19.068714,-2.883073,-19.325,60.832195,2.087913,0.0
1.0,1.181937,-4.426759,-83.057103,67.137458,0.801604,0.0
0.021109,3.372027,-4.100878,-19.528838,50.627137,2.156745,0.541714
-0.781559,13.088462,-3.736251,-73.566272,75.848623,1.829186,0.0
0.188039,2.016825,-4.898556,-90.000111,70.911635,1.869559,0.654247
0.0,-2.30078,-5.705861,-31.622228,75.236644,2.20871,-1.0
0.973333,24.535653,-8.472721,-57.419157,71.676997,1.488853,-1.0
-0.583984,27.428507,-5.834534,-89.057411,79.285489,1.659386,0.669908
-0.460486,5.229934,-3.011165,-1.961841,48.220687,2.305475,-1.240906
0.0,4.213535,-5.773433,-4.9417,46.159553,1.871022,1.0
-1.0,17.354648,-1.544051,-61.550968,54.475313,2.083922,-1.19451
-1.0,8.009039,1.294021,-38.743121,59.525942,2.171175,-1.0
1.0,8.345965,2.588354,-77.263043,65.172002,0.974028,-1.0
0.293785,0.501511,2.122905,-90.639613,64.976973,1.898053,1.0
1.088442,17.633463,-4.807182,-16.305217,51.675104,2.210543,1.354853
-1.0,13.006284,-3.999751,-23.314144,51.147997,1.938831,0.023685
-0.454115,5.763109,-0.055299,-32.893607,44.556665,0.867813,-1.0
0.0,-2.411404,-5.148699,-48.081263,66.903986,1.557279,-1.0
0.942191,27.403214,-12.070273,-29.13606,50.116773,1.960094,-0.188463
-1.0,18.78677,-5.818526,-45.398964,67.303227,2.883343,0.0
0.0,5.909339,-6.159652,-3.377506,75.257079,1.830358,1.748145
-1.0,23.338961,-5.42339,-77.406757,79.750371,1.500247,1.0
-1.0,7.819142,-10.707394,-29.599407,70.37371,0.688574,0.0
1.833148,24.190504,-9.169488,-18.12707,53.046606,2.813807,-1.0
0.0,27.186631,-0.989014,-58.233262,50.248829,1.943549,-1.0
1.0,23.121142,-2.105196,-81.947872,76.895471,1.662393,0.0
0.0,14.195927,-6.087619,-19.722501,68.803711,2.90598,-0.095338
