fp_δ90,bh_δ91,xr_φ12,gy_λ73,zx_φ14,zx_λ75,qv_φ16,xr_ξ7
1.0,31.808712,-1.540691,0.328337,1.0,16.288935,-11.756176,0.274839
0.248055,32.412105,-0.45091,-1.0,1.22688,-27.929765,15.276583,-1.0
1.0,24.771941,1.0,-1.0,-1.0,-5.141749,-8.050395,-0.068055
-1.0,32.962024,-0.445728,-0.116973,-1.981256,5.516416,-0.168411,0.210657
-0.987738,33.156624,-1.0,0.0,-1.0,9.357939,12.738033,0.0
0.0,35.740943,1.0,0.229999,1.0,41.142846,23.694651,1.0
-1.0,27.792171,-1.0,1.0,1.0,9.374178,27.695125,-0.317867
1.0,38.430438,0.679053,0.198135,0.0,-37.372356,19.325122,0.0
0.0,34.216265,-1.119067,0.54147,1.0,14.868872,15.004787,1.717072
-1.0,27.64584,-1.0,2.584646,-0.704885,52.429807,28.475495,-1.0
0.76984,23.322531,-0.089328,0.0,0.140194,45.085487,19.09254,0.141747
-1.133719,25.652981,-1.0,-1.254497,-1.0,13.252051,-6.421698,-1.0
-1.0,27.199925,0.0,0.0,0.401349,22.156014,34.565692,-1.541357
0.193932,34.240967,-0.013376,-1.0,1.524992,60.53326,-4.439846,0.089813
-1.34809,24.80195,-0.379755,-1.473887,0.0,-11.03305,17.507418,-0.872528
1.762054,34.92282,-0.578982,1.0,-1.0,-9.534225,7.443019,-1.0
1.0,36.0749,-0.770524,-1.0,0.23368,-17.45794,26.044571,-1.0
-0.343157,31.142196,-0.677909,1.0,-0.91982,26.142267,25.198504,-0.117081
-1.169974,33.599001,0.230062,1.0,-0.443314,7.337017,14.288431,1.279786
-1.0,37.42638,-1.0,0.0,-1.293902,-29.389236,15.936477,-1.0
0.0,36.224096,-1.295161,0.866877,0.0,-0.399839,26.268224,-1.0
1.0,30.671853,-1.60233,0.030275,-0.940267,-32.356962,-0.169967,1.0
1.0,24.604371,1.0,-1.0,-0.838907,43.021729,-22.333988,-1.0
0.464151,29.318336,0.0,1.047413,-0.083826,4.075271,14.910318,0.636304
1.0,22.435478,-1.0,-1.0,-1.064199,6.915101,-8.198054,0.687069
1.0,23.561682,0.0,-1.752754,0.0,-35.876769,35.6695,-1.0
0.691766,28.903394,1.0,-2.499562,0.80514,2.458116,11.505567,0.76877
-1.292725,31.079209,-0.203142,0.340788,-0.163796,-40.220775,22.491807,1.736666
-0.087905,39.569673,0.0,0.149808,1.0,39.130262,25.989278,1.0
0.0,21.630782,-2.700358,1.0,1.0,-13.921911,16.395305,0.0
0.594303,33.734323,0.712196,-0.004298,1.0,42.198368,-7.866898,0.770563
1.039053,34.50056,-1.0,1.0,-1.331657,59.004376,-2.48032,0.70063
-0.814666,37.897685,0.740065,-1.0,2.269026,-26.135113,32.069294,1.0
0.216349,24.130118,-1.0,0.0,0.0,-33.592812,-14.967288,1.0
0.0,28.706379,0.0,-0.232008,0.0,37.445335,17.676991,1.0
-2.894859,38.931635,-1.0,-1.0,-1.0,-46.36535,19.428883,1.0
0.0,32.203491,1.0,-0.204479,1.0,-14.361916,19.441118,0.681248
-0.774712,39.512235,-1.0,-0.214184,0.220213,-4.101988,23.25091,1.0
0.007284,31.540687,-1.0,-0.404907,0.110048,-23.869837,23.170321,0.0
-1.352145,25.401133,0.0,1.0,0.174189,22.055289,-17.854297,0.0
-0.175058,38.935879,1.0,-1.0,1.066882,45.393439,11.612756,0.0
1.0,23.527183,0.0,-1.0,0.775836,-44.162982,-7.947426,-0.96534
-1.0,39.631375,0.0,1.0,0.0,19.619941,22.58997,-2.275557
-1.0,25.003577,-1.0,-0.663677,0.495385,48.361472,5.81427,1.0
0.0,36.62374,0.597918,-1.0,-1.0,23.621321,28.036133,-0.077883
-1.0,36.921433,1.0,0.269776,1.0,45.911595,22.693154,-1.602
-0.420759,38.772587,-1.0,-1.462741,1.0,52.840963,-3.922922,1.0
-1.0,36.579902,0.0,-0.587425,1.0,-36.996843,-1.895151,0.0
1.0,25.990446,-1.643925,1.0,0.60719,-16.53444,9.953436,0.0
-1.757659,39.351419,-1.0,1.0,0.0,-37.045287,-19.499139,1.674847
0.382494,36.466084,0.486931,-1.0,0.155659,11.680146,11.081443,-1.0
1.0,23.520243,0.257739,1.0,0.0,45.215477,24.333007,1.0
-0.206032,35.856023,-1.301842,1.0,0.438083,-18.193723,8.923872,-1.0
-1.0,30.626049,-0.898687,1.0,0.0,16.699565,24.862095,1.981514
0.0,32.905981,0.841685,0.0,0.0,32.160688,13.897314,-0.349135
-0.0236,33.090927,-1.0,0.0,1.0,-45.620781,22.65186,1.721391
-1.095962,28.181711,1.035746,-1.0,-1.0,40.844633,24.84677,-0.304979
2.46214,27.226931,0.200165,0.0,-0.961939,-10.463004,28.991904,1.0
0.306418,26.188955,0.0,-0.522219,-1.69728,26.210787,27.864231,-1.0
1.202307,33.3644,-0.041731,0.0,0.785156,7.161396,0.359376,0.657144
1.0,23.406924,-0.949279,0.0,1.0,42.924191,-0.612993,-0.479519
-0.186253,36.023743,1.0,0.0,-1.0,35.74682,-21.239071,-0.61741
-1.0,28.793872,0.617994,1.290896,1.0,40.124133,9.667264,0.0
-1.0,27.894943,-2.235606,1.0,-1.0,12.417397,23.210643,0.431182
1.071704,28.18758,0.719409,-0.164291,-0.341743,13.106276,-10.978567,-1.0
-0.564636,23.741435,-1.0,-0.192016,-0.330314,-20.566765,24.71722,1.0
1.0,23.795664,0.0,0.0,1.0,-7.47312,25.918117,0.0
1.058979,24.106347,1.0,-0.230275,-1.396192,30.085472,28.183116,1.219904
0.0,28.778418,-1.158684,-1.0,1.0,-21.264571,0.878289,-0.174997
-2.380455,27.322396,-0.473676,-1.0,1.880153,36.166045,26.409944,-1.0
0.32107,30.927146,0.272333,-1.0,-0.501668,43.689877,33.615924,-1.0
-0.27711,36.638986,-1.0,1.0,0.0,-33.630801,21.876555,-1.0
-0.07834,21.971688,-1.0,-1.0,-0.354784,54.430007,2.328297,-1.0
0.150845,34.092688,-1.0,0.507147,0.396995,-19.492957,10.143639,0.0
1.438048,28.421118,1.0,-1.0,-0.440101,-31.007379,-19.668583,0.0
-1.406719,37.161473,-1.0,-1.0,0.0,-35.157947,28.589046,0.0
1.0,34.727218,-0.219891,1.331496,1.0,-7.366647,-20.194046,-1.0
0.0,26.143463,1.728405,-0.270172,0.119465,-25.518887,12.741411,0.298477
0.0,31.222843,-0.081918,-0.959182,1.312597,14.776123,30.354209,0.0
0.0,34.553634,-0.954954,0.252635,0.0,8.960964,12.589055,-0.620139
0.628906,21.975284,0.0,0.151717,-1.0,58.984286,2.062159,0.638738
0.155936,29.110085,1.0,-0.180863,1.456843,-5.130371,7.641017,-1.0
1.0,36.328942,1.0,0.993337,0.0,-24.403074,9.400855,-1.0
-1.0,29.50719,1.135097,-1.0,1.0,18.64149,29.091252,1.0
0.0,31.025438,0.266514,0.826669,1.112817,49.194272,-21.420991,-0.008698
1.0,34.182426,-0.176714,-1.578369,0.0,-3.832978,7.857292,-1.0
1.269439,37.317066,0.453353,-1.0,1.0,10.432459,-11.804392,0.887063
-1.0,35.211786,1.0,-0.262352,1.0,27.562026,24.255874,-2.218732
-0.501519,38.500599,-0.823076,1.0,-1.044331,49.520248,32.537335,-1.0
0.0,25.480976,2.495716,-1.0,-1.0,-35.436954,-10.032914,-0.93382
0.871459,27.450228,0.0,0.0,0.0,-41.596599,-17.518554,0.0
-0.64073,36.872817,1.11769,0.678163,1.0,54.476817,13.9823,0.773913
-1.894821,31.235753,-1.0,1.617851,-0.109013,38.52867,-10.360863,1.0
-0.579376,37.766809,-1.0,-1.0,0.186444,32.220997,0.483165,1.0
-1.358187,32.560461,0.0,0.0,-0.517524,-13.328242,-18.698756,1.335533
-2.155553,35.726711,1.0,-1.321038,-1.0,-19.815646,-3.819394,-2.205571
-1.0,34.357603,0.0,1.0,0.0,13.789235,-21.993342,-1.632788
1.0,33.05792,1.0,0.6425,-1.0,-20.21962,-11.958657,-1.0
0.48574,29.644719,0.381457,-1.0,-1.0,5.439327,-12.726106,-1.0
0.368249,26.978568,0.459158,-1.0,1.558257,-43.71235,-1.574494,0.501061
0.0,32.003535,0.0,1.0,0.536007,17.534033,-20.985838,-1.0
0.0,34.111262,1.499774,0.516139,-1.0,24.056399,9.807305,0.978673
0.0,30.506162,-0.314313,1.717598,1.0,5.696155,33.348633,2.011358
1.0,30.184181,1.0,0.06249,0.604635,33.999476,35.205199,1.0
0.0,32.784989,-1.0,-1.0,1.715429,-23.76918,7.543059,0.19795
0.591486,32.074925,0.862669,-1.0,0.963916,49.792434,7.972311,1.0
1.0,38.466079,0.0,1.206844,1.68245,-14.392785,19.475618,-0.14009
-0.907648,33.69772,-0.87943,-1.0,-0.655254,-43.586573,33.218979,1.34983
0.36588,29.937017,-1.189751,1.0,1.162566,-44.728253,33.049733,-1.493413
-1.248615,31.090953,-0.119139,0.0,0.34057,25.548489,30.961427,1.0
-1.540438,23.830138,0.645587,1.0,0.48277,42.531358,32.049126,-1.0
-0.95423,21.945059,1.217459,0.0,-1.0,24.085634,16.783035,0.076857
-1.701148,39.246052,0.0,1.0,1.0,32.727724,24.22453,-1.0
1.912741,24.196667,-1.0,-1.540241,-2.635973,-45.545372,25.066412,1.0
0.0,28.727984,-1.337307,0.568225,-1.0,-26.894369,-3.432888,-1.053297
1.0,39.319223,-1.0,0.0,-0.13911,2.93814,-0.158146,1.0
0.376582,22.320302,1.0,0.248406,1.0,56.308823,33.539789,1.893466
-1.123906,29.961177,-1.0,1.348624,-1.0,15.805596,-17.77376,-1.0
-0.266506,38.377994,0.0,0.133179,0.0,19.858884,26.874846,-1.0
0.072054,35.032708,-1.0,1.025719,0.898201,-15.058795,-0.804964,-1.3636
-1.143434,31.917246,0.963909,0.0,-1.272408,-40.800912,19.886281,-0.069035
-1.0,29.404699,1.337813,-1.3424,1.478587,56.148879,24.357403,1.0
-1.0,33.773103,-1.042099,0.497308,0.621475,-24.11706,21.54971,-0.666334
0.211606,24.774267,1.0,-1.852984,-1.0,1.632076,-3.479333,-0.522452
-0.270104,31.517824,-0.338614,1.0,0.0,39.466236,26.904955,1.0
0.095546,25.40068,1.0,-0.720294,-1.0,-1.308001,9.774603,-1.0
1.0,22.790455,0.990378,0.747261,1.0,-46.615156,2.647083,-1.118038
0.759194,37.529766,0.0,0.793376,1.866184,-30.361289,-16.81777,0.59747
-1.0,38.127675,0.0,1.0,0.0,15.753563,22.976679,-1.493456
-1.0,29.613862,1.175184,-1.131594,0.0,28.466687,12.685759,0.459446
1.0,30.102927,0.129741,-1.0,0.0,55.793677,30.564744,-0.757445
1.355949,32.487963,-2.315656,0.467424,1.0,52.713635,7.129134,-1.0
1.0,28.35926,1.644723,-1.0,0.0,24.842499,-17.419971,-1.420004
-1.0,33.592208,1.476704,-1.697831,-1.193911,50.276291,-20.857857,0.0
-1.0,36.341524,0.146061,-1.0,0.903073,-30.278751,-12.289944,-1.0
-0.745899,37.884735,0.299576,0.086254,-1.0,31.975929,-0.664862,0.28784
-0.728892,36.164867,1.438419,0.0,1.0,29.976719,10.722064,-0.122275
0.0,32.687399,-1.0,1.111033,1.0,-30.646396,-13.153437,-1.375097
1.0,31.141853,0.0,-0.606241,-1.0,36.189279,3.092379,1.0
0.0,37.66543,1.0,-0.359585,-0.75504,45.922882,32.539649,-1.0
-1.0,34.357434,-1.0,2.321988,0.0,-18.694107,7.117331,-0.97539
1.0,37.348138,-1.0,-1.0,0.367704,40.239077,7.589989,-1.0
0.626284,39.603944,-0.600527,-1.059307,1.0,13.112603,-13.670946,-0.099066
0.073191,28.324279,1.0,0.479284,-1.454014,9.066498,-3.438285,0.656012
-1.0,34.744747,1.0,-1.96064,0.0,8.067227,32.251517,-0.626104
0.0,38.515246,0.0,-1.0,0.0,5.589842,-11.146367,-0.632858
1.0,26.859643,1.750757,0.0,0.0,-15.860878,7.034279,-1.0
1.0,21.990516,0.411872,-1.426895,0.0,-29.899706,28.525053,-1.288087
-0.073803,28.191444,0.0,0.0,-1.0,-14.507085,-6.707725,1.0
0.0,25.812932,0.0,-0.588653,0.0,51.551955,24.71847,1.0
0.0,38.13394,-0.228447,0.087602,-1.0,-40.110898,-18.00176,-1.582422
-1.0,30.47003,1.0,-1.0,1.135648,45.154221,12.877213,-0.418635
-1.053884,39.313782,-0.5948,-0.196765,0.0,43.604289,7.750357,-0.047135
1.0,31.211017,0.0,0.410408,-0.702635,14.51149,-12.573512,0.0
