Booth_No,Location,Zone,Type,UDF_2021,LDF_2021,T20_2021,NDA_2021,Total_2021,UDF_2024,LDF_2024,NDA_2024,Total_2024,Anti_Inc_Votes,Anti_Inc_Pct,Anti_Inc_Level,T20_to_NDA,T20_to_UDF,T20_Floating,T20_Impact,BDJS_Swing,Genuine_UDF_Growth,Turnout_Diff,UDF_Swing,LDF_Swing,Swing_Class,Total_Swing_Votes,Swing_Pct,Volatility
1,Our Lady of Hope School,Fort Kochi,A,179,131,30,0,340,307,28,0,335,103,78.6,EXTREME,20,8,2,LOW,0,120,-5,128,-103,UDF SWING,138,40.6,HIGH
2,Temporary Shed Ramanthuruthu,Fort Kochi,A,11,4,0,0,15,12,3,0,15,1,25.0,MODERATE,0,0,0,NONE,0,1,0,1,-1,SLIGHT UDF SWING,1,6.7,LOW
3,Women Dev Corp Training Centre,Fort Kochi,C,305,530,24,0,859,582,293,0,875,237,44.7,HIGH,16,6,2,LOW,0,271,16,277,-237,STRONG UDF SWING,277,32.2,MODERATE
4,Santa Cruz HS NE Block,Fort Kochi,A,182,145,78,0,405,342,53,0,395,92,63.4,EXTREME,51,20,7,MODERATE,0,140,-10,160,-92,STRONG UDF SWING,180,44.4,HIGH
5,Santa Cruz HS W Block,Fort Kochi,A,232,172,70,0,474,331,59,0,390,113,65.7,EXTREME,46,18,6,MODERATE,0,81,-84,99,-113,UDF SWING,267,56.3,HIGH
6,Santa Cruz LP School Fort Kochi,Fort Kochi,B,292,296,73,0,661,474,100,0,574,196,66.2,EXTREME,47,18,8,MODERATE,0,164,-87,182,-196,STRONG UDF SWING,356,53.9,HIGH
7,Santa Cruz HS Middle Block,Fort Kochi,B,265,349,129,0,743,458,179,0,637,170,48.7,HIGH,84,32,13,HIGH,0,161,-106,193,-170,STRONG UDF SWING,405,54.5,HIGH
8,St John DBritto AIBHS N,Fort Kochi,C,154,260,65,0,479,290,116,0,406,144,55.4,HIGH,42,16,7,MODERATE,0,120,-73,136,-144,UDF SWING,282,58.9,HIGH
9,St John DBritto AIBHS S,Fort Kochi,C,161,287,74,0,522,313,133,0,446,154,53.7,HIGH,48,18,8,MODERATE,0,134,-76,152,-154,STRONG UDF SWING,304,58.2,HIGH
10,Central Kalvathy LP School W,Fort Kochi,C,280,494,30,0,804,567,218,0,785,276,55.9,HIGH,20,8,2,LOW,0,279,-19,287,-276,STRONG UDF SWING,325,40.4,HIGH
11,Central Kalvathy LP School N,Fort Kochi,C,221,506,19,0,746,477,261,0,738,245,48.4,HIGH,12,5,2,LOW,0,251,-8,256,-245,STRONG UDF SWING,272,36.5,MODERATE
12,Central Kalvathy LP School E,Fort Kochi,F,212,569,0,0,781,466,362,0,828,207,36.4,MODERATE,0,0,0,NONE,0,254,47,254,-207,STRONG UDF SWING,254,32.5,MODERATE
13,Central Kalvathy HS E,Fort Kochi,F,297,687,0,0,984,589,423,0,1012,264,38.4,MODERATE,0,0,0,NONE,0,292,28,292,-264,STRONG UDF SWING,292,29.7,MODERATE
14,LG Pai Memorial Library W,Fort Kochi Mattancherry,E,137,250,0,280,667,186,0,353,539,250,100.0,EXTREME,0,0,0,NONE,73,49,-128,49,-250,SLIGHT UDF SWING,451,67.6,EXTREME
15,Govt UPS Amaravathy N,Fort Kochi Mattancherry,E,144,230,0,383,757,192,0,444,636,230,100.0,EXTREME,0,0,0,NONE,61,48,-121,48,-230,SLIGHT UDF SWING,412,54.4,HIGH
16,GUPS Amaravathy Mid Block,Fort Kochi,C,235,429,99,0,763,364,176,0,540,253,59.0,HIGH,64,25,10,MODERATE,0,104,-223,129,-253,UDF SWING,575,75.4,EXTREME
17,GUPS Amaravathy SW Room S Block,Fort Kochi,B,332,384,108,0,824,457,166,0,623,218,56.8,HIGH,70,27,11,HIGH,0,98,-201,125,-218,UDF SWING,527,64.0,EXTREME
18,GUPS Last Room E S Block,Fort Kochi,A,214,176,76,0,466,393,56,0,449,120,68.2,EXTREME,49,19,8,MODERATE,0,160,-17,179,-120,STRONG UDF SWING,213,45.7,HIGH
19,GUPS North Portion Main Block,Fort Kochi,B,245,339,133,0,717,424,158,0,582,181,53.4,HIGH,86,33,14,HIGH,0,146,-135,179,-181,STRONG UDF SWING,449,62.6,EXTREME
20,GUPS Southern Portion Main Block,Fort Kochi,C,201,340,121,0,662,345,168,0,513,172,50.6,HIGH,79,30,12,HIGH,0,114,-149,144,-172,UDF SWING,442,66.8,EXTREME
21,Pallathu Raman Memorial E Block,Fort Kochi,C,285,401,116,0,802,600,130,0,730,271,67.6,EXTREME,75,29,12,HIGH,0,286,-72,315,-271,STRONG UDF SWING,459,57.2,HIGH
22,Pallathu Raman Memorial S Block,Fort Kochi,C,326,496,132,0,954,576,201,0,777,295,59.5,HIGH,86,33,13,HIGH,0,217,-177,250,-295,STRONG UDF SWING,604,63.3,EXTREME
23,EMGHS Veli Fortkochi W HS,Fort Kochi,C,268,380,135,0,783,491,161,0,652,219,57.6,HIGH,88,34,13,HIGH,0,189,-131,223,-219,STRONG UDF SWING,485,61.9,EXTREME
24,Edward Memorial GLPS N,Fort Kochi,B,193,278,64,0,535,372,106,0,478,172,61.9,EXTREME,42,16,6,MODERATE,0,163,-57,179,-172,STRONG UDF SWING,293,54.8,HIGH
25,Edward Memorial GLPS S,Fort Kochi,C,208,309,81,0,598,378,138,0,516,171,55.3,HIGH,53,20,8,MODERATE,0,150,-82,170,-171,STRONG UDF SWING,334,55.9,HIGH
26,EMGHS Veli Fortkochi UP School,Fort Kochi,C,240,350,111,0,701,434,124,0,558,226,64.6,EXTREME,72,28,11,HIGH,0,166,-143,194,-226,STRONG UDF SWING,480,68.5,EXTREME
27,Anganvady No 41,Fort Kochi,C,247,456,10,0,713,523,186,0,709,270,59.2,HIGH,6,2,2,LOW,0,274,-4,276,-270,STRONG UDF SWING,284,39.8,MODERATE
28,MASSLPS E South Block,Fort Kochi,F,225,665,14,0,904,468,420,0,888,245,36.8,MODERATE,9,4,1,LOW,0,239,-16,243,-245,STRONG UDF SWING,275,30.4,MODERATE
29,MASSLPS Eastern Hall,Fort Kochi,F,233,594,16,0,843,523,286,0,809,308,51.9,HIGH,10,4,2,LOW,0,286,-34,290,-308,STRONG UDF SWING,358,42.5,HIGH
30,MASSLPS Second Room N Block,Fort Kochi,C,235,526,16,0,777,525,280,0,805,246,46.8,HIGH,10,4,2,LOW,0,286,28,290,-246,STRONG UDF SWING,290,37.3,MODERATE
