Booth,Location,Zone,Type,Anti_Inc_to_UDF,T20_to_UDF,T20_Float_to_UDF,Genuine_UDF,Turnout_to_UDF,Total_UDF_Swing,UDF_2021,Projected_UDF_2026
117,St Joseph LPS N Portion,Chellanam,D,276,124,25,203,0,628,230,858
128,Exodus Public School W,Chellanam,D,66,170,34,232,67,569,140,709
123,St Mary HS Mid SE Bldg,Chellanam,D,199,105,21,241,0,566,253,819
57,MMOHS Panayappilly N W,Chullickal,C,200,4,0,330,20,554,305,859
121,St Mary HS Mid Main,Chellanam,D,155,124,25,240,0,544,251,795
33,Gujarati Vidhyalaya HSS NW,Fort Kochi,C,225,6,1,310,0,542,311,853
116,St Joseph LPS Mid Cheriyakadavu,Chellanam,D,204,108,22,197,0,531,256,787
56,MMOHS Panayappilly W,Chullickal,C,211,4,1,310,0,526,293,819
136,St George LPS W Mid Main,Chellanam,D,210,92,18,195,0,515,299,814
60,MMOHS Mid W,Chullickal,C,230,4,0,278,0,512,342,854
21,Pallathu Raman Memorial E Block,Fort Kochi,C,190,29,6,286,0,511,285,796
29,MASSLPS Eastern Hall,Fort Kochi,F,216,4,1,286,0,507,233,740
35,Kochi Gujarathi UPS N,Fort Kochi,C,220,6,2,275,0,503,346,849
31,MASSLPS Sulaiman Master Hall,Fort Kochi,C,190,5,1,298,7,501,280,781
13,Central Kalvathy HS E,Fort Kochi,F,185,0,0,292,17,494,297,791
10,Central Kalvathy LP School W,Fort Kochi,C,193,8,1,279,0,481,280,761
30,MASSLPS Second Room N Block,Fort Kochi,C,172,4,1,286,17,480,235,715
126,Govt HSS Mid Central,Chellanam,D,78,121,24,199,46,468,172,640
27,Anganvady No 41,Fort Kochi,C,189,2,1,274,0,466,247,713
104,St Louis HS NW New Bldg,Kumbalangi,C,185,30,6,245,0,466,205,671
22,Pallathu Raman Memorial S Block,Fort Kochi,C,206,33,6,217,0,462,326,788
3,Women Dev Corp Training Centre,Fort Kochi,C,166,6,1,271,10,454,305,759
38,Haji Easa Moosa HS E,Fort Kochi,F,204,0,0,250,0,454,238,692
115,St Joseph LPS S End,Chellanam,D,132,111,22,185,0,450,228,678
76,Our Lady GLPS W Block N,Chullickal,C,243,26,6,174,0,449,349,798
40,TD Girls LPS N New Block,Fort Kochi,C,169,14,3,259,0,445,252,697
124,Govt HSS N Tsunami,Chellanam,D,64,137,27,162,52,442,169,611
135,St George LPS S Chellanam,Chellanam,D,150,101,20,168,0,439,260,699
47,Govt Girls LPS N West Block,Fort Kochi,C,172,5,1,255,0,433,210,643
103,St Louis LPS Mid Portion,Kumbalangi,A,125,63,13,232,0,433,326,759
90,Loretto AILPS S Block E,Chullickal,C,196,30,6,199,0,431,286,717
11,Central Kalvathy LP School N,Fort Kochi,C,172,5,1,251,0,429,221,650
